2026-06-29 11:19:04,685 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.0.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,685 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.0.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,685 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.0.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,685 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.0.short.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,685 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.1.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.1.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.1.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.2.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.2.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.0.blocks.2.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.0.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.0.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.0.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.0.short.conv.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.1.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.1.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.1.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.2.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.2.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.2.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.3.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.3.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.1.blocks.3.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.0.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.0.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.0.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.0.short.conv.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.1.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.1.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.1.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.2.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,686 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.2.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.2.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.3.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.3.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.3.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.4.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.4.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.4.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.5.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.5.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.2.blocks.5.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.0.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.0.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.0.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.0.short.conv.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.1.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.1.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.1.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.2.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.2.branch2b.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone.res_layers.3.blocks.2.branch2c.conv.weight, lr: 1e-05, weight_decay: 0.0001
2026-06-29 11:19:04,687 [INFO] engine.optim_wrapper: Param: backbone_ir.res_layers.0.blocks.0.branch2a.conv.weight, lr: 1e-05, weight_decay: 0.0001
